context,urgency,importance,risk,distance_from_human,distance_from_object,speed,comfort,bumping_human,bumping_object,predictability
A robot is navigating as part of a collection task in a home.,45,65,20,70,40,65,70,20,15,70
A robot is navigating as part of a collection task in a home. It works with fragile objects.,65,75,35,75,70,30,75,25,15,85
A robot is navigating as part of a collection task in a hospital.,70,85,70,90,75,60,80,5,30,75
A robot is navigating as part of a collection task in a hospital. It works with fragile objects.,75,95,65,75,80,20,80,5,10,85
A robot is navigating as part of a collection task in a library.,40,65,20,75,70,35,60,10,25,80
A robot is navigating as part of a collection task in a library. It works with fragile objects.,65,75,25,75,85,25,70,15,15,85
A robot is navigating as part of a collection task in a museum.,60,65,35,20,80,25,65,5,15,75
A robot is navigating as part of a collection task in a museum. It works with fragile objects.,70,98,65,70,85,15,90,5,0,80
A robot is navigating as part of a collection task in a restaurant.,55,65,30,70,70,65,60,15,35,75
A robot is navigating as part of a collection task in a restaurant. It works with fragile objects.,65,82,50,70,85,30,80,15,12,85
A robot is navigating as part of a collection task in a school.,50,65,20,75,65,70,70,15,30,70
A robot is navigating as part of a collection task in a school. It works with fragile objects.,40,75,40,80,85,30,70,5,20,70
A robot is navigating as part of a collection task in a store.,65,65,30,20,70,65,70,20,70,70
A robot is navigating as part of a collection task in a store. It works with fragile objects.,75,85,50,75,80,30,70,20,15,80
A robot is navigating as part of a collection task in a warehouse.,50,75,30,70,40,70,20,40,25,75
A robot is navigating as part of a collection task in a warehouse. It works with fragile objects.,65,85,35,75,80,35,30,20,15,85
A robot is navigating as part of a delivery task in a museum.,45,75,35,80,80,30,75,15,10,85
A robot is performing routine tasks in a home.,30,70,30,40,60,50,70,20,20,70
A robot is performing routine tasks in a hospital.,80,95,45,75,75,55,85,5,5,85
A robot is performing routine tasks in a library.,20,55,10,75,70,35,75,5,20,70
A robot is performing routine tasks in a museum.,40,65,15,65,75,35,80,15,5,75
A robot is performing routine tasks in a restaurant.,40,65,15,75,60,40,80,15,20,75
A robot is performing routine tasks in a school.,30,40,20,85,80,40,70,5,15,75
A robot is performing routine tasks in a store.,35,70,30,60,75,50,60,20,20,75
A robot is performing routine tasks in a warehouse.,30,50,25,30,60,40,35,20,20,85
A robot is performing routine tasks in an office.,30,50,10,40,55,50,70,5,20,60
A robot is trying to locate the source of a noise in a library.,60,65,20,15,90,20,85,10,15,60
A robot is working with lab samples. The samples are part of a routine environmental study to measure pollution.,45,65,25,70,65,40,65,10,15,75
A robot is working with lab samples. The samples contain a deadly virus.,95,95,85,90,95,5,90,90,0,95
A robot is working with lab samples. The samples contain blood samples.,80,75,45,75,95,20,80,35,5,85
A school guide robot is delivering an object,45,63,35,60,60,75,75,10,20,85
"A school robot is looking for a fire extinguisher, as it just detected a fire.",95,95,76,20,10,95,20,70,80,75
"A store robot is looking for a fire extinguisher, as it just detected a fire.",100,98,80,87,95,95,10,85,90,20
"A warehouse robot is looking for a fire extinguisher, as it just detected a fire.",95,95,70,25,10,95,95,85,85,60
A warehouse robot is moving around while inspecting the air quality.,45,65,15,65,70,55,40,15,5,65
An idle hospital assistant robot decides to explore its environment.,15,40,34,35,70,30,40,5,20,65
An idle house assistant robot decides to explore its environment.,20,25,15,30,70,40,20,10,30,35
An idle last-mile delivery robot decides to explore its environment.,20,30,30,75,65,35,25,5,20,30
An idle museum guide robot decides to explore its environment.,10,35,10,65,70,40,35,10,10,65
An idle robot working in a home explores its environment.,20,20,20,70,55,30,60,5,20,60
An idle robot working in a home goes to recharge its battery. It has 0% battery left.,95,95,30,20,75,70,60,70,70,80
An idle robot working in a home goes to recharge its battery. It has 1% battery left.,95,90,25,95,25,80,70,20,80,60
An idle robot working in a home goes to recharge its battery. It has 10% battery left.,65,80,15,25,35,40,60,20,20,40
An idle robot working in a home goes to recharge its battery. It has 11% battery left.,55,75,15,60,75,45,65,15,65,65
An idle robot working in a home goes to recharge its battery. It has 12% battery left.,70,75,22,25,70,65,70,40,30,70
An idle robot working in a home goes to recharge its battery. It has 13% battery left.,70,80,10,30,35,45,70,30,65,70
An idle robot working in a home goes to recharge its battery. It has 14% battery left.,42,75,10,65,65,20,45,20,40,60
An idle robot working in a home goes to recharge its battery. It has 15% battery left.,65,75,5,75,60,35,65,45,10,40
An idle robot working in a home goes to recharge its battery. It has 16% battery left.,60,75,15,20,45,20,35,30,20,65
An idle robot working in a home goes to recharge its battery. It has 17% battery left.,45,65,15,45,65,55,55,30,30,65
An idle robot working in a home goes to recharge its battery. It has 18% battery left.,30,75,10,40,40,35,55,15,25,40
An idle robot working in a home goes to recharge its battery. It has 19% battery left.,60,75,25,85,75,65,45,35,30,55
An idle robot working in a home goes to recharge its battery. It has 2% battery left.,90,90,35,40,25,85,70,30,80,80
An idle robot working in a home goes to recharge its battery. It has 20% battery left.,45,65,5,65,75,40,35,25,10,60
An idle robot working in a home goes to recharge its battery. It has 21% battery left.,60,65,5,70,65,65,60,5,10,25
An idle robot working in a home goes to recharge its battery. It has 22% battery left.,35,65,10,70,70,45,65,25,35,65
An idle robot working in a home goes to recharge its battery. It has 23% battery left.,60,75,5,80,65,55,60,10,35,30
An idle robot working in a home goes to recharge its battery. It has 24% battery left.,40,70,15,65,30,40,30,25,20,30
An idle robot working in a home goes to recharge its battery. It has 25% battery left.,30,70,5,40,60,20,20,5,20,30
An idle robot working in a home goes to recharge its battery. It has 26% battery left.,35,70,20,30,70,40,75,15,35,30
An idle robot working in a home goes to recharge its battery. It has 27% battery left.,45,85,5,70,65,55,85,35,25,40
An idle robot working in a home goes to recharge its battery. It has 28% battery left.,65,75,15,30,70,45,20,5,30,45
An idle robot working in a home goes to recharge its battery. It has 29% battery left.,65,80,10,30,30,30,40,20,10,30
An idle robot working in a home goes to recharge its battery. It has 3% battery left.,90,85,15,75,75,75,40,30,60,70
An idle robot working in a home goes to recharge its battery. It has 30% battery left.,20,65,5,65,75,25,40,25,10,40
An idle robot working in a home goes to recharge its battery. It has 31% battery left.,15,65,20,60,25,15,65,10,20,45
An idle robot working in a home goes to recharge its battery. It has 32% battery left.,35,20,15,30,35,45,15,25,15,70
An idle robot working in a home goes to recharge its battery. It has 33% battery left.,25,55,10,35,70,20,75,10,10,25
An idle robot working in a home goes to recharge its battery. It has 34% battery left.,20,65,10,70,70,60,60,25,15,30
An idle robot working in a home goes to recharge its battery. It has 35% battery left.,25,55,5,20,85,60,20,20,15,20
An idle robot working in a home goes to recharge its battery. It has 36% battery left.,35,45,5,55,20,20,65,20,20,20
An idle robot working in a home goes to recharge its battery. It has 37% battery left.,30,40,15,25,60,40,20,20,15,30
An idle robot working in a home goes to recharge its battery. It has 38% battery left.,25,45,5,40,75,10,65,20,20,60
An idle robot working in a home goes to recharge its battery. It has 39% battery left.,25,30,10,40,70,35,65,15,25,30
An idle robot working in a home goes to recharge its battery. It has 4% battery left.,92,85,20,65,65,65,45,45,25,55
An idle robot working in a home goes to recharge its battery. It has 40% battery left.,30,35,15,70,75,45,30,10,5,65
An idle robot working in a home goes to recharge its battery. It has 41% battery left.,10,30,15,20,65,45,60,10,5,25
An idle robot working in a home goes to recharge its battery. It has 42% battery left.,30,30,15,75,60,15,70,30,20,65
An idle robot working in a home goes to recharge its battery. It has 43% battery left.,20,65,10,65,65,35,70,15,15,30
An idle robot working in a home goes to recharge its battery. It has 44% battery left.,20,40,5,40,65,35,80,10,20,45
An idle robot working in a home goes to recharge its battery. It has 45% battery left.,30,20,10,40,68,25,20,5,15,30
An idle robot working in a home goes to recharge its battery. It has 46% battery left.,20,40,10,40,65,50,70,10,15,20
An idle robot working in a home goes to recharge its battery. It has 47% battery left.,10,25,5,80,65,35,65,20,10,30
An idle robot working in a home goes to recharge its battery. It has 48% battery left.,15,35,5,70,60,75,80,15,35,40
An idle robot working in a home goes to recharge its battery. It has 49% battery left.,30,20,5,20,30,35,80,15,10,30
An idle robot working in a home goes to recharge its battery. It has 5% battery left.,80,95,15,65,35,60,65,25,65,70
An idle robot working in a home goes to recharge its battery. It has 50% battery left.,20,25,5,75,75,30,30,15,20,40
An idle robot working in a home goes to recharge its battery. It has 51% battery left.,10,35,10,75,25,17,70,15,10,35
An idle robot working in a home goes to recharge its battery. It has 52% battery left.,25,20,10,65,30,40,40,15,10,70
An idle robot working in a home goes to recharge its battery. It has 53% battery left.,35,25,0,60,70,25,27,5,20,30
An idle robot working in a home goes to recharge its battery. It has 54% battery left.,20,25,5,75,75,23,65,15,10,30
An idle robot working in a home goes to recharge its battery. It has 55% battery left.,20,30,5,50,75,25,30,20,15,20
An idle robot working in a home goes to recharge its battery. It has 56% battery left.,15,30,5,80,70,45,80,15,25,25
An idle robot working in a home goes to recharge its battery. It has 57% battery left.,20,25,10,60,80,50,20,10,5,40
An idle robot working in a home goes to recharge its battery. It has 58% battery left.,20,30,10,75,80,10,25,20,20,65
An idle robot working in a home goes to recharge its battery. It has 59% battery left.,25,40,10,80,70,35,70,20,20,30
An idle robot working in a home goes to recharge its battery. It has 6% battery left.,70,85,15,70,60,55,15,30,15,20
An idle robot working in a home goes to recharge its battery. It has 60% battery left.,20,30,10,75,35,30,80,10,25,20
An idle robot working in a home goes to recharge its battery. It has 61% battery left.,10,20,10,80,70,25,20,5,10,25
An idle robot working in a home goes to recharge its battery. It has 62% battery left.,15,45,10,85,80,50,70,20,5,25
An idle robot working in a home goes to recharge its battery. It has 63% battery left.,25,20,10,65,85,40,20,20,35,20
An idle robot working in a home goes to recharge its battery. It has 64% battery left.,30,30,5,70,40,20,30,20,20,30
An idle robot working in a home goes to recharge its battery. It has 65% battery left.,15,40,5,50,75,30,30,15,20,20
An idle robot working in a home goes to recharge its battery. It has 66% battery left.,10,25,15,25,30,40,75,15,20,20
An idle robot working in a home goes to recharge its battery. It has 67% battery left.,15,25,3,20,60,40,75,15,20,35
An idle robot working in a home goes to recharge its battery. It has 68% battery left.,15,30,10,35,65,20,60,5,20,35
An idle robot working in a home goes to recharge its battery. It has 69% battery left.,20,30,10,70,30,20,25,10,10,45
An idle robot working in a home goes to recharge its battery. It has 7% battery left.,75,90,20,45,55,65,45,15,15,80
An idle robot working in a home goes to recharge its battery. It has 70% battery left.,15,30,5,50,80,30,75,10,10,40
An idle robot working in a home goes to recharge its battery. It has 71% battery left.,20,45,10,65,60,15,20,15,20,25
An idle robot working in a home goes to recharge its battery. It has 72% battery left.,20,25,5,90,70,25,35,10,15,20
An idle robot working in a home goes to recharge its battery. It has 73% battery left.,15,20,5,50,70,50,15,15,20,30
An idle robot working in a home goes to recharge its battery. It has 74% battery left.,15,15,10,75,60,25,80,20,5,20
An idle robot working in a home goes to recharge its battery. It has 75% battery left.,20,35,5,80,65,20,70,20,25,45
An idle robot working in a home goes to recharge its battery. It has 76% battery left.,12,40,5,35,80,24,20,5,15,40
An idle robot working in a home goes to recharge its battery. It has 77% battery left.,15,20,5,20,75,40,25,35,10,25
An idle robot working in a home goes to recharge its battery. It has 78% battery left.,15,20,5,40,65,30,20,10,15,15
An idle robot working in a home goes to recharge its battery. It has 79% battery left.,15,20,5,50,35,25,25,20,10,15
An idle robot working in a home goes to recharge its battery. It has 8% battery left.,85,85,15,75,70,65,75,20,35,40
An idle robot working in a home goes to recharge its battery. It has 80% battery left.,20,20,10,40,75,15,15,15,5,20
An idle robot working in a home goes to recharge its battery. It has 81% battery left.,20,20,10,5,75,30,15,10,10,20
An idle robot working in a home goes to recharge its battery. It has 82% battery left.,5,30,5,10,25,15,20,5,5,25
An idle robot working in a home goes to recharge its battery. It has 83% battery left.,15,25,3,75,80,55,20,5,15,30
An idle robot working in a home goes to recharge its battery. It has 84% battery left.,5,20,15,70,75,30,15,10,5,20
An idle robot working in a home goes to recharge its battery. It has 85% battery left.,10,40,5,20,60,10,70,5,10,40
An idle robot working in a home goes to recharge its battery. It has 86% battery left.,10,10,1,15,35,30,10,25,0,10
An idle robot working in a home goes to recharge its battery. It has 87% battery left.,20,10,10,75,65,35,20,20,5,30
An idle robot working in a home goes to recharge its battery. It has 88% battery left.,10,20,5,70,75,25,75,10,15,60
An idle robot working in a home goes to recharge its battery. It has 89% battery left.,5,35,2,80,65,20,25,12,10,25
An idle robot working in a home goes to recharge its battery. It has 9% battery left.,70,95,30,45,80,75,35,30,30,75
An idle robot working in a home goes to recharge its battery. It has 90% battery left.,15,30,5,70,80,25,40,10,5,15
An idle robot working in a home goes to recharge its battery. It has 91% battery left.,10,20,5,85,70,10,20,5,10,15
An idle robot working in a home goes to recharge its battery. It has 92% battery left.,10,15,10,90,65,10,20,10,5,15
An idle robot working in a home goes to recharge its battery. It has 93% battery left.,15,25,5,75,70,20,75,20,5,20
An idle robot working in a home goes to recharge its battery. It has 94% battery left.,10,20,5,60,30,10,5,0,10,20
An idle robot working in a hospital explores its environment.,20,30,27,60,60,30,80,10,20,60
An idle robot working in a hospital goes to recharge its battery. It has 0% battery left.,98,95,30,70,75,90,80,65,90,85
An idle robot working in a hospital goes to recharge its battery. It has 1% battery left.,95,98,48,60,80,85,70,80,90,65
An idle robot working in a hospital goes to recharge its battery. It has 10% battery left.,65,85,20,20,25,60,75,35,20,70
An idle robot working in a hospital goes to recharge its battery. It has 11% battery left.,66,70,15,65,75,60,70,60,70,65
An idle robot working in a hospital goes to recharge its battery. It has 12% battery left.,70,75,20,80,60,35,40,35,40,65
An idle robot working in a hospital goes to recharge its battery. It has 13% battery left.,75,75,10,75,35,70,40,25,40,70
An idle robot working in a hospital goes to recharge its battery. It has 14% battery left.,70,70,15,30,65,65,75,20,68,80
An idle robot working in a hospital goes to recharge its battery. It has 15% battery left.,30,75,25,80,60,55,70,30,40,70
An idle robot working in a hospital goes to recharge its battery. It has 16% battery left.,65,70,15,40,35,30,60,35,25,65
An idle robot working in a hospital goes to recharge its battery. It has 17% battery left.,75,90,15,55,75,70,40,25,65,80
An idle robot working in a hospital goes to recharge its battery. It has 18% battery left.,65,80,15,75,75,65,25,20,30,75
An idle robot working in a hospital goes to recharge its battery. It has 19% battery left.,35,80,15,65,55,60,75,25,35,40
An idle robot working in a hospital goes to recharge its battery. It has 2% battery left.,95,95,30,75,80,85,65,20,85,75
An idle robot working in a hospital goes to recharge its battery. It has 20% battery left.,70,75,15,65,70,40,75,30,15,40
An idle robot working in a hospital goes to recharge its battery. It has 21% battery left.,40,70,15,80,65,25,75,30,30,70
An idle robot working in a hospital goes to recharge its battery. It has 22% battery left.,60,50,20,60,75,65,65,15,30,40
An idle robot working in a hospital goes to recharge its battery. It has 23% battery left.,65,65,15,70,75,35,65,35,15,60
An idle robot working in a hospital goes to recharge its battery. It has 24% battery left.,45,70,20,75,60,45,70,45,40,85
An idle robot working in a hospital goes to recharge its battery. It has 25% battery left.,30,80,15,50,60,60,65,10,20,40
An idle robot working in a hospital goes to recharge its battery. It has 26% battery left.,75,30,15,80,65,75,70,25,25,85
An idle robot working in a hospital goes to recharge its battery. It has 27% battery left.,40,65,25,65,55,40,70,40,40,55
An idle robot working in a hospital goes to recharge its battery. It has 28% battery left.,60,70,20,70,65,65,35,10,15,55
An idle robot working in a hospital goes to recharge its battery. It has 29% battery left.,40,70,15,40,65,75,70,60,25,30
An idle robot working in a hospital goes to recharge its battery. It has 3% battery left.,90,95,60,75,75,95,30,25,70,75
An idle robot working in a hospital goes to recharge its battery. It has 30% battery left.,40,40,10,65,65,40,65,25,20,40
An idle robot working in a hospital goes to recharge its battery. It has 31% battery left.,30,65,25,70,70,40,75,20,15,35
An idle robot working in a hospital goes to recharge its battery. It has 32% battery left.,60,70,20,65,40,30,70,15,15,40
An idle robot working in a hospital goes to recharge its battery. It has 33% battery left.,35,40,15,65,70,60,40,10,20,75
An idle robot working in a hospital goes to recharge its battery. It has 34% battery left.,65,45,15,65,75,35,70,10,40,70
An idle robot working in a hospital goes to recharge its battery. It has 35% battery left.,40,40,15,80,60,50,70,20,20,60
An idle robot working in a hospital goes to recharge its battery. It has 36% battery left.,35,40,15,65,35,30,70,15,45,35
An idle robot working in a hospital goes to recharge its battery. It has 37% battery left.,25,55,10,45,70,45,60,15,20,75
An idle robot working in a hospital goes to recharge its battery. It has 38% battery left.,20,70,10,65,65,30,70,10,20,65
An idle robot working in a hospital goes to recharge its battery. It has 39% battery left.,40,60,5,70,75,55,65,20,15,40
An idle robot working in a hospital goes to recharge its battery. It has 4% battery left.,95,80,25,70,75,80,40,25,25,60
An idle robot working in a hospital goes to recharge its battery. It has 40% battery left.,35,15,5,35,60,20,70,20,30,70
An idle robot working in a hospital goes to recharge its battery. It has 41% battery left.,25,25,5,55,70,30,60,5,30,65
An idle robot working in a hospital goes to recharge its battery. It has 42% battery left.,10,35,10,70,75,65,60,30,30,60
An idle robot working in a hospital goes to recharge its battery. It has 43% battery left.,20,20,15,50,70,55,65,15,15,70
An idle robot working in a hospital goes to recharge its battery. It has 44% battery left.,20,20,10,50,60,25,40,15,15,50
An idle robot working in a hospital goes to recharge its battery. It has 45% battery left.,25,35,25,70,70,60,70,15,20,60
An idle robot working in a hospital goes to recharge its battery. It has 46% battery left.,38,30,15,55,35,35,65,15,10,30
An idle robot working in a hospital goes to recharge its battery. It has 47% battery left.,25,70,5,70,75,55,60,20,20,30
An idle robot working in a hospital goes to recharge its battery. It has 48% battery left.,33,35,25,20,65,35,70,5,20,20
An idle robot working in a hospital goes to recharge its battery. It has 49% battery left.,25,20,5,65,70,20,75,15,20,60
An idle robot working in a hospital goes to recharge its battery. It has 5% battery left.,80,85,20,35,35,80,20,40,85,70
An idle robot working in a hospital goes to recharge its battery. It has 50% battery left.,30,30,10,75,65,35,70,20,20,70
An idle robot working in a hospital goes to recharge its battery. It has 51% battery left.,20,40,10,50,70,25,75,25,15,40
An idle robot working in a hospital goes to recharge its battery. It has 52% battery left.,20,30,15,70,70,45,30,10,10,40
An idle robot working in a hospital goes to recharge its battery. It has 53% battery left.,20,25,15,80,40,65,80,15,20,65
An idle robot working in a hospital goes to recharge its battery. It has 54% battery left.,25,30,10,40,75,30,60,15,10,45
An idle robot working in a hospital goes to recharge its battery. It has 55% battery left.,30,25,5,75,60,40,65,10,25,20
An idle robot working in a hospital goes to recharge its battery. It has 56% battery left.,25,35,15,65,70,25,20,15,15,25
An idle robot working in a hospital goes to recharge its battery. It has 57% battery left.,10,30,20,25,65,25,73,10,25,45
An idle robot working in a hospital goes to recharge its battery. It has 58% battery left.,30,30,5,65,65,35,35,20,20,25
An idle robot working in a hospital goes to recharge its battery. It has 59% battery left.,20,30,17,75,40,20,40,20,15,70
An idle robot working in a hospital goes to recharge its battery. It has 6% battery left.,78,90,85,60,75,65,65,60,40,75
An idle robot working in a hospital goes to recharge its battery. It has 60% battery left.,25,30,5,50,75,30,80,10,10,45
An idle robot working in a hospital goes to recharge its battery. It has 61% battery left.,15,35,10,65,70,25,80,20,20,45
An idle robot working in a hospital goes to recharge its battery. It has 62% battery left.,25,65,15,75,70,30,30,5,15,60
An idle robot working in a hospital goes to recharge its battery. It has 63% battery left.,25,15,15,80,45,35,30,15,35,35
An idle robot working in a hospital goes to recharge its battery. It has 64% battery left.,35,40,15,60,65,20,60,25,20,30
An idle robot working in a hospital goes to recharge its battery. It has 65% battery left.,20,25,10,75,65,35,75,20,20,10
An idle robot working in a hospital goes to recharge its battery. It has 66% battery left.,15,20,10,75,60,35,75,15,10,45
An idle robot working in a hospital goes to recharge its battery. It has 67% battery left.,20,25,5,40,80,40,25,30,10,75
An idle robot working in a hospital goes to recharge its battery. It has 68% battery left.,20,30,5,50,50,25,35,5,20,30
An idle robot working in a hospital goes to recharge its battery. It has 69% battery left.,20,25,5,70,65,40,35,10,15,45
An idle robot working in a hospital goes to recharge its battery. It has 7% battery left.,85,80,15,20,75,65,70,40,60,40
An idle robot working in a hospital goes to recharge its battery. It has 70% battery left.,5,35,15,70,55,20,75,5,5,25
An idle robot working in a hospital goes to recharge its battery. It has 71% battery left.,15,30,5,40,60,25,30,5,10,30
An idle robot working in a hospital goes to recharge its battery. It has 72% battery left.,10,30,10,75,60,35,65,5,20,65
An idle robot working in a hospital goes to recharge its battery. It has 73% battery left.,20,65,5,65,65,40,30,15,20,40
An idle robot working in a hospital goes to recharge its battery. It has 74% battery left.,15,35,5,80,85,20,65,10,10,35
An idle robot working in a hospital goes to recharge its battery. It has 75% battery left.,20,20,15,65,85,30,20,15,10,40
An idle robot working in a hospital goes to recharge its battery. It has 76% battery left.,10,40,5,65,85,35,75,15,20,40
An idle robot working in a hospital goes to recharge its battery. It has 77% battery left.,25,30,5,50,45,38,60,10,15,60
An idle robot working in a hospital goes to recharge its battery. It has 78% battery left.,23,30,5,55,65,10,70,25,20,40
An idle robot working in a hospital goes to recharge its battery. It has 79% battery left.,10,20,10,65,60,20,65,20,15,75
An idle robot working in a hospital goes to recharge its battery. It has 8% battery left.,80,95,15,65,80,65,60,30,25,75
An idle robot working in a hospital goes to recharge its battery. It has 80% battery left.,20,40,5,70,70,50,75,20,10,40
An idle robot working in a hospital goes to recharge its battery. It has 81% battery left.,35,20,5,90,60,20,90,10,5,45
An idle robot working in a hospital goes to recharge its battery. It has 82% battery left.,20,10,10,85,75,40,65,5,15,35
An idle robot working in a hospital goes to recharge its battery. It has 83% battery left.,25,20,5,80,35,35,40,5,10,35
An idle robot working in a hospital goes to recharge its battery. It has 84% battery left.,25,25,5,65,75,30,75,12,15,65
An idle robot working in a hospital goes to recharge its battery. It has 85% battery left.,5,30,10,65,75,45,30,10,10,30
An idle robot working in a hospital goes to recharge its battery. It has 86% battery left.,20,25,10,70,55,20,20,10,10,65
An idle robot working in a hospital goes to recharge its battery. It has 87% battery left.,15,30,5,80,60,20,85,15,15,42
An idle robot working in a hospital goes to recharge its battery. It has 88% battery left.,12,10,5,65,70,15,20,5,20,70
An idle robot working in a hospital goes to recharge its battery. It has 89% battery left.,5,15,10,75,65,30,30,10,20,30
An idle robot working in a hospital goes to recharge its battery. It has 9% battery left.,80,85,15,60,25,65,80,65,40,75
An idle robot working in a hospital goes to recharge its battery. It has 90% battery left.,20,20,10,65,75,20,65,10,15,40
An idle robot working in a hospital goes to recharge its battery. It has 91% battery left.,15,35,5,75,55,30,85,10,15,40
An idle robot working in a hospital goes to recharge its battery. It has 92% battery left.,5,15,5,60,35,20,30,10,10,40
An idle robot working in a hospital goes to recharge its battery. It has 93% battery left.,5,10,15,70,80,30,85,20,15,25
An idle robot working in a hospital goes to recharge its battery. It has 94% battery left.,15,15,4,30,65,30,75,5,10,80
An idle robot working in a library explores its environment.,15,30,10,70,30,30,85,5,10,35
An idle robot working in a library goes to recharge its battery. It has 0% battery left.,95,90,10,75,75,80,75,20,85,75
